time my_testwave1
0 -0
6.19535348488546e-13 -3.07835418216102e-09
1.23907069697709e-12 -2.46269950659954e-08
1.85860604546584e-12 -8.30893191869728e-08
2.4781413939546e-12 -1.96824165788264e-07
3.09767674244314e-12 -3.84045144975733e-07
3.71721209093169e-12 -6.62760161583128e-07
4.33674743942044e-12 -1.05071126056814e-06
4.95628278790899e-12 -1.56531491937182e-06
5.57581813639753e-12 -2.22360291213074e-06
6.19535348488628e-12 -3.0421638698733e-06
6.81488883337483e-12 -4.03708565977304e-06
7.43442418186358e-12 -5.22389870544389e-06
8.05395953035213e-12 -6.61752036874422e-06
8.67349487884067e-12 -8.23220051202851e-06
9.29303022732943e-12 -1.00814683579152e-05
9.91256557581797e-12 -1.21780807616074e-05
1.05321009243067e-11 -1.4533972008686e-05
1.11516362727953e-11 -1.71602052487042e-05
1.17711716212838e-11 -2.00669256724605e-05
1.23907069697726e-11 -2.32633155379459e-05
1.30102423182611e-11 -2.67575511469609e-05
1.36297776667501e-11 -3.05567618713212e-05
1.42493130152386e-11 -3.46669913241066e-05
1.48688483637272e-11 -3.90931607679671e-05
1.54883837122159e-11 -4.38390348488295e-05
1.61079190607045e-11 -4.89071897393969e-05
1.67274544091932e-11 -5.42989837730535e-05
1.73469897576818e-11 -6.00145306442465e-05
1.79665251061705e-11 -6.60526752476581e-05
1.85860604546591e-11 -7.24109722235322e-05
1.92055958031476e-11 -7.90856672722347e-05
1.98251311516362e-11 -8.60716812964775e-05
2.04446665001249e-11 -9.33625974245791e-05
2.10642018486137e-11 -0.000100950650963537
2.16837371971022e-11 -0.000108826722325334
2.23032725455907e-11 -0.000116980332965143
2.29228078940793e-11 -0.00012539964436454
2.3542343242568e-11 -0.000134071460087833
2.41618785910566e-11 -0.000142981230934148
2.47814139395453e-11 -0.000152113063202387
2.54009492880339e-11 -0.000161449730080986
2.60204846365226e-11 -0.000170972686168562
2.66400199850112e-11 -0.000180662085126201
2.72595553334997e-11 -0.000190496800456493
2.78790906819883e-11 -0.000200454449398729
2.8498626030477e-11 -0.000210511419924212
2.91181613789658e-11 -0.000220642900809815
2.97376967274543e-11 -0.000230822914762528
3.03572320759429e-11 -0.000241024354561872
3.09767674244314e-11 -0.000251219022181762
3.15963027729202e-11 -0.000261377670847504
3.22158381214087e-11 -0.000271470049978482
3.28353734698977e-11 -0.000281464952961285
3.34549088183862e-11 -0.000291330267692901
3.40744441668748e-11 -0.00030103302982793
3.46939795153635e-11 -0.000310539478659002
3.53135148638521e-11 -0.00031981511555381
3.59330502123408e-11 -0.000328824764867577
3.65525855608294e-11 -0.000337532637244549
3.71721209093181e-11 -0.000345902395217155
3.77916562578067e-11 -0.000353897221006988
3.84111916062952e-11 -0.000361479886426885
3.9030726954784e-11 -0.000368612824778924
3.96502623032725e-11 -0.000375258204638817
4.02697976517613e-11 -0.000381378005413079
4.08893330002498e-11 -0.000386934094551017
4.15088683487384e-11 -0.000391888306289898
4.21284036972269e-11 -0.00039620252180796
4.27479390457156e-11 -0.000399838750656076
4.33674743942044e-11 -0.000402759213335948
4.39870097426929e-11 -0.000404926424889088
4.46065450911815e-11 -0.00040630327935814
4.52260804396702e-11 -0.000406853134979263
4.58456157881588e-11 -0.000406539899961553
4.64651511366473e-11 -0.000405328118707273
4.70846864851361e-11 -0.00040318305832455
4.77042218336246e-11 -0.00040007079528194
4.83237571821134e-11 -0.000395958302052986
4.89432925306019e-11 -0.000390813533597092
4.95628278790905e-11 -0.000384605513521848
5.0182363227579e-11 -0.000377304419771076
5.08018985760678e-11 -0.000368881669681879
5.14214339245567e-11 -0.00035931000425361
5.20409692730453e-11 -0.000348563571471213
5.26605046215338e-11 -0.000336618008525559
5.32800399700224e-11 -0.000323450522773428
5.38995753185111e-11 -0.000309039971280229
5.45191106669997e-11 -0.000293366938789544
5.51386460154884e-11 -0.00027641381396391
5.5758181363977e-11 -0.00025816486374335
5.63777167124657e-11 -0.000238606305668592
5.69972520609543e-11 -0.000217726378018663
5.76167874094428e-11 -0.000195515407613453
5.82363227579316e-11 -0.000171965875135029
5.88558581064201e-11 -0.000147072477823179
5.94753934549089e-11 -0.000120832189403672
6.00949288033974e-11 -9.32443171107742e-05
